Question,Answer
What is the address of the Quad,"200 S University St, Normal, IL 61761"
What is the address of the Rachel Cooper,"275 S University St, Normal, IL 61761"
What is the address of the Redbird Spirit Shop in the Bone Student Center,"200 N University St, Normal, IL 61761"
What is the address of the Redbird Spirit Shop on North Street,"100 W North St, Normal, IL, 61761"
What is the address of the Redbird Plaza,"304 S University Street, Normal, IL 61761"
What is the address of the Schroeder Hall,"403 W College Avenue, Normal, IL 61761"
What is the address of the State Farm Hall of Business,"410 S University St, Normal, IL, 61761"
What is the address of the Westhoff Theatre,"353 S School St, Normal, IL, 61761"
What is the address of the Stevenson Hall,"300 S School St, Normal, IL, 61761"
What is the address of the Williams Hall,"303 S School St, Normal, IL, 61761"
What is the address of the Watterson Dining Commons,"301 S Fell Ave, Normal, IL, 61761"
What is the address of the Old Union Building,"251 S School St, Normal, IL, 61761"
What is the address of the Student Services Building,"201 N University St, Normal, IL, 61761"
What is the address of the Vrooman Center,"213 W Mulberry St, Normal, IL 61761"
What is the address of the Science Laboratory Building,"125 S Fell Ave, Normal, IL 61761"
What is the address of the Watterson Towers,"319 S Fell Ave, Normal, IL 61761"
What is the address of the Thomas Metcalf School,"107 S University St, Normal, IL 61761"
What is the address of the Turner Hall,"700 W College Ave, Normal, IL 61761"
What is the address of the Student Accounts Building,"605 Dry Grove St, Normal, IL 61761"
What is the address of the Wilkins Hall,"182 N Adelaide St, Normal, IL 61761"
What is the address of the Wright Hall,"190 N Adelaide St, Normal, IL 61761"
What is the email for the Dean of Students Office?,DeanOfStudents@IllinoisState.edu
What is the email for the Student Access and Accommodation Services?,tikeney@IllinoisState.edu
What is the email for the University Housing Services?,Housing@IllinoisState.edu
What is the email for the Student Counseling Services?,skgorh1@ilstu.edu
What is the email for the Student Affairs Information Technology?,StudentAffairsIT@IllinoisState.edu
What is the email for the Student Affairs?,StudentAffairs@IllinoisState.edu
What is the email for the Veterans Services?,VeteransServices@IllinoisState.edu
What is the email for the Student Affairs Assessment and Planning?,StudentAffairsAssessment@IllinoisState.edu
What is the email for the Student Activities?,StudentActivities@IllinoisState.edu
What is the email for the Student Conduct and Community Responsibilities?,StudentConduct@IllinoisState.edu
What is the email for the Students' Attorney?,StudentsAttorney@IllinoisState.edu
What is the email for the Career Services?,CareerServices@IllinoisState.edu
What is the email for the Campus Recreation?,CampusRecreation@IllinoisState.edu
What is the email for the Center for Civic Engagement?,CivicEngagement@IllinoisState.edu
What is the email for the International Engagement?,InternationalEngagement@IllinoisState.edu
What is the email for the Parent and Family Services?,Parents@IllinoisState.edu
What is the phone number for the Alumni Engagement?,(309) 438-2586
What is the phone number for the Student Health Services?,(309) 438-8655
What is the phone number for the Dining at Illinois State?,(309) 438-8351
What is the phone number for the Student Accounts?,(309) 438-5643
What is the phone number for the Dean of Students?,(309) 438-2008
What is the phone number for the Financial Aid Office?,(309) 438-2231
What is the phone number for the Student Access and Accommodation Services?,(309) 438-5853 or (309) 438-8620
What is the phone number for the Honors Program?,(309) 438-2559
What is the phone number for the Financial Aid?,(309) 438-2231
What is the phone number for the Human Resources?,(309) 438-8311
What is the phone number for the International Engagement?,(309) 438-5365
What is the phone number for the Parent and Family Services?,(309) 438-2008
What is the phone number for the Technology Support Center?,(309) 438-4357
What is the phone number for the University Housing Services?,(309) 438-8611
What is the phone number for the Veterans Services?,(309) 438-2207
What is the phone number for the Department of Agriculture?,(309) 438-5654
What is the phone number for the Department of Criminal Justice Sciences?,(309) 438-7626
What is the phone number for the Department of Family and Consumer Sciences?,(309) 438-2517
What is the phone number for the Department of Health Sciences?,(309) 438-8329
What is the phone number for the School of Information Technology?,(309) 438-8338
What is the phone number for the Department of Military Science?,(309) 438-5408
What is the phone number for the Department of Technology?,(309) 438-3661
What is the phone number for the Registration and Records?,(309) 438-2188
What is the phone number for the Admissions Office?,(309) 438-2181 or toll-free (800) 366-2478
What is the phone number for the Department of Biological Sciences?,(309) 438-3669
What is the phone number for the Department of Chemistry?,(309) 438-7661
What is the phone number for the Department of Communication Sciences and Disorders?,(309) 438-8643
What is the phone number for the School of Communication?,(309) 438-3671
What is the phone number for the Department of Economics?,(309) 438-8625
What is the phone number for the Department of English?,(309) 438-3667
"What is the phone number for the Department of Geography, Geology, and the Environment?",(309) 438-7649
What is the phone number for the Department of History?,(309) 438-5641
"What is the phone number for the Department of Languages, Literatures, and Cultures?",(309) 438-3604
What is the phone number for the Department of Mathematics?,(309) 438-8781
What is the phone number for the Department of Philosophy?,(309) 438-7665
What is the phone number for the Department of Physics?,(309) 438-8756
What is the phone number for the Department of Politics and Government?,(309) 438-8638
What is the phone number for the Department of Psychology?,(309) 438-8651
What is the phone number for the Department of Sociology and Anthropology?,(309) 438-8668
What is the phone number for the Department of Accounting?,(309) 438-7651
"What is the phone number for the Department of Finance, Insurance, and Law?",(309) 438-8777
What is the phone number for the Department of Management and Quantitative Methods?,(309) 438-5701
What is the phone number for the Department of Marketing?,(309) 438-7261
What is the phone number for the Master of Business Administration (MBA) Program?,(309) 438-8386
What is the phone number for the Department of Educational Administration and Foundations?,(309) 438-5422
What is the phone number for the Department of Special Education?,(309) 438-8980
What is the phone number for the School of Teaching and Learning?,(309) 438-5425
What is the phone number for the Department of Electrical Engineering?,(309) 438-8114
What is the phone number for the Department of Mechanical Engineering?,(309) 438-8114
What is the phone number for the Department of General Engineering?,(309) 438-8114
What is the phone number for the Undergraduate Nursing Programs?,(309) 438-7400
What is the phone number for the Graduate Nursing Programs?,(309) 438-7400
What is the phone number for the School of Art?,(309) 438-5622
What is the phone number for the School of Music?,(309) 438-7631
What is the phone number for the School of Theatre and Dance?,(309) 438-8783
What is the phone number for the Program in Creative Technologies?,(309) 438-3921
What is the phone number for the Admissions Office?,(309) 438-2181 or toll-free (800) 366-2478
What is the phone number for the Alumni Engagement?,(309) 438-2586
What is the phone number for the Dining at Illinois State?,(309) 438-8351
What is the phone number for the Dean of Students?,(309) 438-2008
What is the phone number for the Student Access and Accommodation Services?,(309) 438-5853 or (309) 438-8620
What is the phone number for the Financial Aid Office?,(309) 438-2231
What is the phone number for the Honors Program?,(309) 438-2559
What is the phone number for the Human Resources?,(309) 438-8311
What is the phone number for the International Engagement?,(309) 438-5365
What is the phone number for the Parent and Family Services?,(309) 438-2008
What is the phone number for the Technology Support Center?,(309) 438-4357
What is the phone number for the University Housing Services?,(309) 438-8611
What is the phone number for the Veterans Services?,(309) 438-2207
What is the phone number for the Student Health Services?,(309) 438-8655
What is the phone number for the Student Accounts?,(309) 438-5643
What is the phone number for the Office of the President?,(309) 438-5677
Where is the nan parking located?,
Where is the Milner Library parking located?,"201 N. School Street, Normal IL 61761"
Where is the nan parking located?,
Where is the Center for Performing Arts parking located?,"351 S. School Street, Normal IL 61761"
Where is the nan parking located?,
Where is the Milner Plaza parking located?,Milner Plaza located at the west entrance to Milner Library.
Where is the nan parking located?,
Where is the Edwards Hall parking located?,"110 S. University Street, Normal IL 61761"
Where is the nan parking located?,
Where is the Schroeder Hall parking located?,"403 W. College Avenue, Normal IL 61761"
Where is the nan parking located?,
Where is the Fell Hall parking located?,"304 S. University Street, Normal IL 61761"
Where is the nan parking located?,
Where is the State Farm Hall of Business parking located?,"410 S University St., Normal IL 61761"
Where is the nan parking located?,
Where is the Honors Building parking located?,"207 S. Main Street, Normal IL 61761"
Where is the nan parking located?,
Where is the Turner Hall parking located?,"700 W. College Avenue, Normal IL 61761"
Where is the nan parking located?,
Where is the Linkins Dining Center parking located?,"300 N. Adelaide Street, Normal IL 61761"
Where is the nan parking located?,
Where is the Wright Hall parking located?,"190 N. Adelaide St., Normal IL 61761"
Where is the nan parking located?,
Where is the McCormick Hall/Rec Center parking located?,"347 S. University Street, Normal IL 61761"
"What does it mean to ""internationalize"" my major at Illinois State University?","Internationalizing your major involves integrating a second major or minor in a world language with your primary field of study. This combination enhances your cultural competence and linguistic skills, making you more marketable in today's globalized workforce."
How can studying a world language benefit my career prospects?,"Proficiency in multiple languages and cultural understanding are highly valued by employers both in the United States and internationally. These skills enable you to effectively engage with diverse clients and partners, thereby broadening your career opportunities."
Are there sample plans of study available for combining my major with a world language?,"Yes, sample plans are available to help you visualize how to integrate a world language into your major and graduate within four years. Examples include:

Communication Sciences and Disorders and Spanish
History and French
International Business and Spanish
Public Relations and French

These plans outline a semester-by-semester course schedule."
What if my major isn't listed among the departments offering internationalized study plans?,"Even if your major isn't specifically listed, there are still opportunities to internationalize your studies. It's recommended to contact Laura Edwards, who can provide guidance on how to incorporate world language studies and international experiences into your academic plan."
How can I get started with internationalizing my major?,"To begin, reach out to your University College advisor or the major advisor associated with your department. They can assist you in developing a personalized plan that aligns with your academic and career goals."
What is the Illinois State University Honors Program?,"The Honors Program at Illinois State University offers an enriched academic experience designed to enhance students' college journey through memorable experiences, individualized attention, and unique opportunities. It aims to develop critical thinking, leadership skills, and prepare students for a diverse world.
Honors Program"
Who is eligible to apply for the Honors Program?,"The Honors Program admits new freshmen, current Illinois State students, and transfer students. Interested individuals can apply after being admitted to Illinois State University.
Honors Program"
What are the benefits of joining the Honors Program?,"Honors students enjoy several benefits, including:
Priority Registration: Early course enrollment opportunities.
Specialized Advising: Access to dedicated Honors advisors for personalized academic guidance.
Academic Partnerships: Opportunities to collaborate with faculty members on research and projects.
Honors Housing: Option to live in Honors Themed Living-Learning Communities.
Engaging Events: Participation in various programs and activities designed for Honors students.
Honors Program"
What are the academic requirements to remain in the Honors Program?,"Honors students are required to:
Maintain a 3.3 Cumulative GPA: Falling below this may result in Honors Probation, allowing up to two semesters to improve.
Complete One Honors Learning Experience Each Semester: Part-time students must complete one Honors Learning Experience for every 12 credit hours completed.
Honors Program"
How can I apply to the Honors Program?,"Prospective students should first gain admission to Illinois State University. Afterward, they can apply to the Honors Program through the university's application portal. Detailed application procedures and deadlines are available on the Honors Program's Applying page."
What academic programs does Illinois State University offer?,"Illinois State University provides a wide array of academic programs, including:
Undergraduate Majors: Diverse fields of study across various disciplines.
Graduate Programs: Advanced degrees in multiple areas of expertise.
Minors: Supplementary courses to complement major studies.
For a comprehensive list, visit the Academics page."
How can I explore different areas of study at Illinois State University?,"The university categorizes its programs into several areas of interest, including:
Agriculture and Environment
Arts, Communication, and Media
Business and Economics
Education
Human Development and Services
Humanities and Languages
Nursing, Health, and Wellness
Politics and Law
Science, Mathematics, and Engineering
Society and Culture
Technology
Each area encompasses specific majors and minors. Detailed information is available on the Academics page."
Does Illinois State University offer pre-professional pathways?,"Yes, the university provides pre-professional pathways to prepare students for post-baccalaureate professional programs, including medicine, physical therapy, law, and more. These pathways are designed to meet prerequisites and enhance readiness for professional school applications. More details can be found on the Academics page."
Are there interdisciplinary programs available?,"Illinois State offers interdisciplinary major and minor programs that integrate multiple academic disciplines, providing an immersive educational experience. These programs allow students to tailor their education to their interests and career goals. Information on these programs is accessible via the Academics page."
Who teaches the courses at Illinois State University?,"At Illinois State, 85% of classes are taught by professors rather than graduate assistants. Additionally, 97% of professors hold the highest degree in their respective fields, providing students with expert instruction and mentorship. Further information is available on the Academics page."
What academic colleges are part of Illinois State University?,"The university comprises several academic colleges, including:
College of Applied Science and Technology
College of Arts and Sciences
College of Business
College of Education
College of Engineering
Wonsook Kim College of Fine Arts
Mennonite College of Nursing
Milner Library
Each college offers specialized programs and resources. Links to these colleges are provided on the Academics page."
Which departments at Illinois State University offer opportunities to internationalize my major?,"Several departments encourage students to combine their majors with world language studies, including:

Department of Communication Sciences and Disorders
Department of History
Department of Languages, Literatures, and Cultures
Department of Politics and Government
Department of Sociology and Anthropology
International Business
Mennonite College of Nursing
School of Communication
Each department offers tailored plans of study that integrate world language coursework and study abroad experiences."
Are there scholarships available for Honors students?,"Yes, the Honors Program provides information and assistance for various national and international scholarships. Students are encouraged to explore these opportunities and seek guidance during the application process.
Honors Program"
Does Illinois State University have an Honors Program?,"Yes, the Honors Program at Illinois State focuses on enrichment over acceleration, offering unique learning experiences, scholarships, research opportunities, and travel experiences. The program is designed to provide a challenging and supportive environment for high-achieving students. More information is available on the Academics page."
Is studying abroad a component of internationalizing my major?,"Yes, participating in a study abroad program is highly encouraged as it enhances cultural and linguistic proficiency. Many departments have established study abroad opportunities that complement their curricula, providing immersive experiences to reinforce your language skills and global understanding."
What support does Illinois State University provide for first-year students?,"The university is unique in Illinois for having advisors specifically trained to assist first-year students. This support contributes to a high freshman retention rate, with over 81% of freshmen returning for their sophomore year. Resources for first-year students include guidance on course selection, major exploration, and access to various academic services. Additional information is available on the Academics page."
What are Honors Learning Experiences?,"These are specialized academic engagements that allow students to customize their education. Options include:
Honors Sections of Courses: Smaller, discussion-based classes.
Honors Contracts: Opportunities to add an Honors component to a regular course.
Research Projects: Collaborative research with faculty.
Study Abroad Programs: International learning experiences.
Internships: Professional experiences in a student's field of study.
Service Learning: Community service projects integrated with academic learning.
Honors Program"
What support is available for Honors students within their major?,"Each department or school has an Honors Liaisonâ€”typically a faculty member or advisorâ€”who assists students in integrating Honors Learning Experiences into their major requirements and offers guidance on pursuing Honors research.
Honors Program"
Are there opportunities for global learning at Illinois State University?,"Absolutely. Students can combine a world language with their major to unlock study abroad opportunities, enhancing their global perspective and cultural competence. The university encourages international experiences to prepare students for a globalized workforce. Details are available on the Academics page."
What happens if my GPA falls below the required 3.3?,"Students whose cumulative GPA drops between 3.00 and 3.29 are placed on Honors Probation. This status allows them up to two semesters to raise their GPA to 3.30 or higher while still enjoying the benefits of the Honors Program. During probation, students must achieve at least a 3.30 semester GPA.
Illinois State University"
What is the student-to-faculty ratio at Illinois State University?,"The university boasts a 19-to-1 student-to-faculty ratio, ensuring personalized attention and a supportive learning environment. This ratio facilitates meaningful interactions between students and faculty, enhancing the educational experience. More details can be found on the Academics page."
How does Illinois State University promote civic engagement?,"Civic engagement is a core value at Illinois State. The university is one of only 50 U.S. colleges designated as a Civic Learning and Democratic Engagement Leadership Institution. Students have opportunities to participate in community service, civic education, and leadership programs. More information can be found on the Academics page."
Where can I find more information or contact the Honors Program?,"For additional details, visit the Honors Program website. Specific inquiries can be directed through the contact information provided on the site."
How can I best support my student during their transition to college?,Parents recommend offering guidance based on personal experiences while encouraging independence. Regular checkâ€‘ins (rather than constant monitoring) can help maintain balance.
What are the best ways to stay updated about campus events and emergencies?,"Enroll in the ISU Emergency Alert system, follow official Parent and Family Services social media channels, and subscribe to campus newsletters for timely updates."
How do I access my studentâ€™s financial account or assist with payments?,Use the Authorized User feature on the Student Accounts portalâ€”a secure method that allows you to view billing information and make payments without breaching FERPA.
What common holds affect registration and how can they be resolved?,"Holds often arise from unpaid balances or incomplete paperwork (e.g., missing FRA). Check My.IllinoisState for specifics and contact Student Accounts immediately to resolve issues."
What if my student is overwhelmed by academic pressure?,"Encourage your student to use campus counseling, meet with academic advisors, and attend timeâ€‘management or stressâ€‘reduction workshops. Open and supportive conversations are key."
How can I help my student with budgeting and managing expenses?,"Discuss setting up a realistic budget early, use financial management apps (like Mint), and consider attending campus financial literacy workshops. Regular budget reviews are advised."
What should I do if my student is homesick or struggling emotionally?,"Maintain regular communication through texts, calls, or care packages, and encourage involvement in campus clubs or organizations. Suggest campus mental health resources if needed."
How do I ensure my studentâ€™s meal plan meets their nutritional needs?,"Contact dining services to discuss dietary requirements, review meal plan options during orientation, and consider alternative arrangements if the standard plan doesnâ€™t suffice."
How can I support my student if they have a learning disability or require special accommodations?,Encourage registration with Student Access and Accommodation Services (SAAS) and ensure they speak with academic advisors. Attending SAAS sessions can provide further guidance.
How can I build a network with other ISU parents for support and advice?,"Join the official Parent and Family Services Facebook group, attend Family Weekend events, and participate in campus-sponsored parent activities."
How do I effectively contact campus offices for urgent matters?,"In urgent situations, call the relevant office directly (such as Student Accounts or Parent and Family Services) for faster responses. Follow up as needed."
What should I do if my student isnâ€™t utilizing available campus resources?,"Encourage them by discussing the benefits of academic support, counseling, and career services. Sharing success stories from other parents can motivate them."
How do I verify that my studentâ€™s financial aid disbursement is correctly applied?,"Regularly review the billing portal, compare disbursement notices with account updates, and contact the Financial Aid Office if discrepancies are noticed."
What steps should I take if my studentâ€™s billing information or contact details change?,Update the information immediately via My.IllinoisState and confirm the changes with the Student Accounts Office to avoid missed notifications.
How do I navigate policy changes regarding tuition fees or financial aid?,"Stay informed by regularly checking the official ISU website, subscribing to campus newsletters, and attending Parent and Family Services events where updates are discussed."
How do I help my student if I suspect they are not managing their time or academic responsibilities effectively?,"Advise them to meet with academic advisors, utilize tutoring services, and consider timeâ€‘management workshops. Establishing a regular communication routine can also help."
What can I do if my student appears isolated or isnâ€™t involved in campus activities?,"Encourage joining clubs or organizations, suggest attending campus events (like Family Weekend), and, if needed, recommend they connect with campus mental health resources."
What recommendations do other parents have for managing the transition from home to college life?,"Common advice includes setting clear expectations, creating a communication schedule, planning periodic visits, and gradually transferring responsibilities to foster independence."
Is Greek housing considered campus housing? How do I get a housing exemption for my child's second year?,Fraternity/Sorority houses are not campus housing. You can learn more and also apply for a housing exemption for the student's second year at housing.illinoisstate.edu/contracts/exemptions/ 
Where can I find information about fraternities/sororities?,You can find information at the Dean of Students Recognized Chapter page at deanofstudents.illinoisstate.edu/involvement/fraternal/chapters/ 
"My child is transferring to ISU this fall, where can I find information regarding the transfer process?",Information regarding transfer students and the process involved can be found on the Transfer Students webpage at Illinoisstate.edu/admissions/transfer/ 
How do I search for a roommate for my child at ISU?,"Here is a step-by-Step Guide to Roommate Matching at ISU
â€¢	Access the Housing and Dining Portal
â€¢	Have your child log in to the Housing and Dining Portal using their ISU Central Login credentials.
â€¢	Complete the Housing Contract and Initial Payment
â€¢	Ensure the housing contract is submitted and the initial payment is made. For first-time in college students, completing these steps by May 1 provides access to roommate matching features.
â€¢	Create a Roommate Profile
â€¢	Within the portal, your child can create a roommate profile by answering lifestyle and preference questions. This profile helps in finding compatible roommate matches.
â€¢	Search for and Connect with Potential Roommates
â€¢	Using the roommate matching tool, your child can:
â€¢	View suggested roommates based on compatibility scores.
â€¢	Search for roommates using specific criteria.
â€¢	Send and receive roommate requests.
â€¢	Communicate with potential roommates through the portal's messaging system. 
â€¢	Select a Room Together
â€¢	Once a roommate match is confirmed, they can coordinate to select a room during the designated room selection period."
How should I adjust my role as my student transitions to college?,"Shift from dayâ€‘toâ€‘day oversight to a supportive guidance role. Encourage independence while remaining available for advice and maintaining open, honest communication."
What resources are available to help me stay informed and connected?,"Use Parent and Family News, the Parent and Family Services website, and the dedicated Facebook page/group for campus updates, event details, and useful tips."
How do I stay informed about campus emergencies?,"Enroll in the ISU Emergency Alert system by texting â€œISUAlertsâ€ to 67283 and follow updates via campus email, social media, and onâ€‘campus displays."
What should I do if my student faces emotional or academic challenges?,"Maintain open communication, listen without judgment, and encourage your student to utilize available resources such as counseling services, academic advising, and support programs."
What are my studentâ€™s housing and dining options?,"Onâ€‘campus options include residence halls and university apartments (with structured meal plans), while offâ€‘campus housing is supported through Offâ€‘Campus Services. More details are available on the Parent and Family Services website."
How does FERPA affect my access to my studentâ€™s information?,"FERPA restricts the sharing of studentâ€‘specific academic records without consent. For academic details, parents should speak directly with their student; however, Authorized User status can be used for billing and account information."
What should I expect during my studentâ€™s transition to college?,"Expect challenges such as homesickness, stress, and adjustments to greater independence. Prepare by discussing expectations, supporting selfâ€‘reliance, and reviewing campus resources."
How can I remain involved with my student from a distance?,"Use digital communication tools (texts, video calls, emails), send care packages, and participate in campus events (like Family Weekend) to stay connected while respecting your studentâ€™s independence."
What does academic standing mean and what happens if my studentâ€™s GPA falls below the required level?,"A cumulative GPA of 2.0 or higher is required. Falling below may result in academic probation, with support offered via University College; repeated issues could lead to dismissal."
What should I know about extended student absences?,Extended absences (three or more consecutive days) should be reported to the Dean of Students Officeâ€”especially in cases like bereavement. The student is responsible for notifying instructors as well.
What academic support resources are available if my student is struggling?,"Resources include University College, academic advisors, tutoring centers, and the Julia N. Visor Academic Center. Encourage your student to access these services."
How do I get more information about University Housing or Offâ€‘Campus Housing?,Detailed information is available on the Parent and Family Services website or by contacting the University Housing office directly.
What resources are available for students with disabilities or special needs?,Student Access and Accommodation Services (SAAS) offers eligibility assessment and accommodations. Encourage your student to register and attend SAAS informational sessions.
How can I help my student prepare for life after college?,"Explore campus career development services, networking events, study abroad programs, and internship opportunities. Discuss future plans and encourage participation in career workshops."
How do I find a roommate?,Students can use the university's roommate matching service or connect with peers through social media or housing forums to find compatible roommates. The university also offers tools to help select roommates based on preferences and living habits.
What if I have a conflict with my roommate?,The university encourages communication and provides mediation services through Resident Assistants (RAs) or professional staff to help resolve conflicts. Roommate agreements are also set up at the start of the semester to establish clear expectations.
What are LLCs?,"Themed Living-Learning Communities are groups of students who share similar academic or personal interests and live together in the same residence hall. Some examples might include the Honors Community, STEM, or Social Justice LLCs. Students in LLCs participate in specialized programs and activities."
How do I join an LLC?,"Students can apply for LLCs during the housing application process. Availability may vary by semester, and students are encouraged to apply early to secure a spot."
What housing accommodations are available for students with disabilities?,Illinois State University offers a variety of accessible housing options for students with mobility challenges or other medical needs. Students can request specific accommodations like wheelchair-accessible rooms or specialized equipment through the Office of Disability Services.
How do I request accommodations?,Students must submit a request with supporting documentation to the Office of Disability Services. The housing office works with this office to ensure students' needs are met.
How can I get involved outside of my academic work?,"Illinois State University offers numerous student organizations, clubs, and leadership opportunities. Residence halls themselves also host events to get students engaged in the campus community."
Are there leadership opportunities in the residence halls?,"Yes, students can become Resident Assistants (RAs), who help create community and manage activities within the residence halls. This is a popular way to develop leadership skills while living on campus."
Can I work on campus?,"Yes, students can apply for on-campus jobs, including positions within University Housing such as RAs, desk attendants, or event coordinators."
How do I apply for student employment?,"Job openings are posted on the universityâ€™s employment portal, and students can apply directly through that system. Housing positions often require a separate application or interview process."
When is move-in day?,"The date for move-in varies by housing assignment, but typically takes place before classes start in the fall and spring semesters. Specific times are assigned by the housing office."
What should I bring with me for move in day?,"The housing office provides a checklist of recommended items to bring, including bedding, toiletries, and kitchen supplies. They also list items that are not allowed in the residence halls."
How does the move-out process work?,"Students are expected to check out of their rooms at the end of each semester. The university provides instructions for cleaning, returning keys, and checking out with a staff member to avoid penalties or charges."
How do I apply for housing?,"Students can apply for housing through the housing portal on the university's website. It's important to complete the application early, as rooms are filled on a first-come, first-served basis."
Can I change my room assignment after Iâ€™ve moved in?,Room changes are allowed but must be requested through the housing office. Changes are subject to availability and policies.
How do I move out at the end of the semester?,"Students are expected to follow the move-out procedures, which include cleaning their rooms, returning keys, and checking out with a staff member. Specific dates and steps are outlined by the housing office."
What are the different housing options available?,"The university offers several housing locations: Hewett-Manchester, Tri-Towers, Watterson Towers, Cardinal Court, Fell Avenue Apartments, and School Street Apartments."
What is the difference between residence halls and apartments?,"Residence halls (e.g., Hewett-Manchester, Tri-Towers, Watterson Towers) are traditional dormitory-style living spaces. Cardinal Court offers apartment-style living, typically for sophomores, and Fell Avenue and School Street Apartments are for upperclassmen, graduate students, and international students."
What amenities are available in the residence halls and Cardinal Court?,"Amenities include 24/7 front desk service, fitness centers, free laundry access, basketball courts, study spaces, sand volleyball courts, free bus service with a Redbird ID, and more."
Is there off-campus housing available?,"Yes, if students prefer to live off-campus, they can access an off-campus housing database through the Dean of Students office."
What meal plans are available?,"The university offers various meal plans, which are customizable based on your needs. Students can choose between different plans, including all-you-care-to-eat options and flexible meal dollars for dining at various locations on campus."
How do I choose and register for a meal plan?,"Students can register for a meal plan through the Housing & Dining Portal. Options vary depending on the student's housing assignment, and students can make adjustments to their meal plan during specific periods."
Can parents dine with their student on campus?,Yes! Parents of students with meal plans can dine for free at either of the dining centers when visiting their student.
Where can I find nutritional information for campus dining?,"Illinois State provides detailed nutritional information, ingredients, and allergen information for each dining location via NetNutrition, a website dedicated to helping students make informed decisions about their meals."
Are there dining employment opportunities?,"The Event Management, Dining, and Hospitality (EMDH) department hires students for various positions across campus, providing flexible schedules, competitive wages, and leadership opportunities."
What is Bloomington-Normal known for?,"Bloomington-Normal is known for being a thriving college town with a vibrant arts scene, excellent local parks, and a strong community spirit. It is also recognized as one of the most educated counties in Illinois."
How is Illinois State University involved in the local community?,"The university has strong ties with local employers like State Farm, Rivian Electric Vehicles, and COUNTRY Financial, offering students internships and job opportunities."
What are some attractions in Bloomington-Normal?,"The area offers various attractions such as the Constitution Trail, Normal Theater, Castle Theatre, and events like the Normal CornBelters baseball games."
What is Uptown Normal?,"Uptown Normal is a bustling central district near campus, offering local shops, restaurants, and hotels that are within walking distance of the university."
How can students engage in the local culture?,"Students are encouraged to participate in the city's arts, culture, and local events like farmer's markets, sports, and music festivals, all of which contribute to the vibrant community life."
What is Sorority and Fraternity Life at ISU?,"Sorority and Fraternity Life at Illinois State University supports fraternities and sororities by assisting with academic achievement, leadership development, community service, community marketing, and membership recruitment."
How can I join a sorority or fraternity?,"Students interested in joining a sorority or fraternity should refer to the Membership Information section on the Sorority and Fraternity Life page, which includes details on the recruitment process."
Where can I find information about the chapters at ISU?,Information about various chapters can be found on the Chapters section of the page. This includes details about each sorority and fraternity at ISU.
What resources are available for chapter leaders?,There are specific resources and support available for chapter leaders in the Chapter Resources section. This includes leadership development and guidance on chapter operations.
Does ISU provide fraternity and sorority housing?,"Yes, the university offers fraternity and sorority housing. More information can be found under the Housing section."
How can I contact Sorority and Fraternity Life at ISU?,"You can contact Sorority and Fraternity Life by calling (309) 438-3212 or emailing sororityfraternitylife@ilstu.edu. For additional detailed information, visit the FAQ section directly on their site."
What are the general hours for the Bone Student Center?,Monday to Saturday: 7:00 AM to 11:00 PM. Sunday: 10:00 AM to 11:00 PM
How can I book an event at the Bone Student Center?,You can book an event through the Event Management section of the website. It offers details on the spaces available for events and how to reserve them.
What dining options are available at the Bone Student Center?,The Bone Student Center provides a variety of food options. Check out the Places to Eat section for a list of available dining facilities within the center.
Can I work at the Bone Student Center?,"Yes, there are employment opportunities through Event Management, Dining, and Hospitality (EMDH). Positions are available across different areas like event management and dining services."
How can I contact the Bone Student Center for more information?,You can contact them at (309) 438-8351 or email EMDH@IllinoisState.edu for general inquiries.
Are there any upcoming events at the Bone Student Center?,"The site lists events such as career chats, headshot photo sessions, and various student forums. Check the Upcoming Events section for more details. For additional inquiries, you can visit the Bone Student Center directly or reach out through the provided contact details."
What fitness programs are available at ISU?,"Illinois State offers Group Fitness and Personal Training programs, which provide a variety of options to help students meet their fitness goals."
How can I schedule a personal training session?,You can find information on how to book a Personal Trainer or schedule a session on the Personal Training section of the site.
What fitness classes are offered?,The site offers a range of Group Fitness Classes. You can explore the current Fitness Schedule to find times and class types.
Can I build a personalized fitness program?,"Yes, the site provides resources to Build a Fitness Program tailored to your goals, including guidance on exercises with machines and bodyweight."
Where can I find fitness rules and regulations?,The Fitness Rules section outlines the guidelines for safe and effective participation in fitness activities at Campus Recreation.
How can I contact Campus Recreation for more information?,"You can contact Campus Recreation by emailing CampusRecreation@IllinoisState.edu or calling (309) 438-3704. For more detailed information, check out their website directly under the respective sections for group fitness, personal training, and building a fitness program."
What are Sport Clubs at ISU?,"Sport Clubs are student-led groups that offer students the opportunity to compete in a variety of sports. They are run with assistance from Sport Club Administration and are open to all students, regardless of skill level."
How can I join a Sport Club?,You can join a sport club by reaching out to the club directly via their Redbird Life page or by contacting the Sport Club program for more information on how to get involved.
Are there any tryouts for Sport Clubs?,"While clubs are open to students of all skill levels, some clubs may have tryouts or cuts depending on the level of competition. It's best to check with the specific club you're interested in."
How much does it cost to participate in a Sport Club?,Costs vary depending on the club. You can find detailed cost information by contacting the specific club or visiting their Redbird Life page.
How do I start my own Sport Club?,"If you're interested in starting a new sport club, you can refer to the Starting a Sport Club section on the website for a guide on how to initiate the process."
How can I contact the Sport Clubs program?,"You can contact the Sport Clubs program at SportClubs@IllinoisState.edu or call (309) 438-2577 for more information. For more details on specific clubs, practices, and events, visit the full Sport Clubs section on their website."
